,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
3,Fall 2021,MATH,6398,7,Special Problems,Blecher,David P,0,0,0,0,0,3,0,0,0,0.0
13,Fall 2021,MATH,3338,5,Probability,Kao,Edward P,10,15,0,0,1,0,0,0,10,3.142
14,Fall 2021,MATH,3339,4,Statistics for the Sciences,Wang,Wenshuang,129,43,20,28,22,0,0,0,13,2.924
57,Fall 2021,MATH,2415,21,Calculus III,West,James David,15,33,26,15,57,0,0,0,56,1.539
83,Fall 2021,COSC,4351,2,Fundamentals of Software Engr,Singh,Raj Kumar,70,8,2,1,2,0,0,0,1,3.651
101,Fall 2021,MATH,3321,5,Engineering Mathematics,Ryan,John M,11,14,26,15,18,0,0,0,9,1.798
124,Fall 2021,COSC,4324,1,Entrepreneurship for CS,Panahi,Hesam Mike,14,7,3,0,0,0,0,0,0,3.348
146,Fall 2021,MATH,4388,1,History of Mathematics,Ji,Shanyu,23,14,4,1,6,0,0,0,1,3.02
187,Fall 2021,COSC,1437,3,Introduction to Programming,Rincon Castro,Carlos Alberto,28,16,18,6,21,0,0,0,16,2.244
233,Fall 2021,COSC,2436,7,Programming and Data Structure,Gabriel,Edgar,25,27,20,4,10,0,0,0,19,2.616
269,Fall 2021,MATH,8398,15,Doctoral Research,Kalantar,Mehrdad,0,0,0,0,0,2,0,0,0,0.0
271,Fall 2021,MATH,8698,1,Doctoral Research,Olshanskiy,Maxim Alexandrovich,0,0,0,0,0,4,0,0,0,0.0
294,Fall 2021,COSC,3399,3,Senior Honors Thesis,Shah,Shishir,0,0,0,0,0,0,0,0,0,0.0
299,Fall 2021,COSC,3320,2,Algorithms and Data Structures,Wu,Panruo,31,64,22,2,6,0,0,0,14,2.957
300,Fall 2021,MATH,3325,1,Transition to Advanced Math,Onofrei,Daniel T,7,5,6,4,2,0,0,0,4,2.417
333,Fall 2021,MATH,8698,3,Doctoral Research,Bodmann,Bernhard G,0,0,0,0,0,1,0,0,0,0.0
343,Fall 2021,MATH,6366,1,Optimization Theory,Mang,Andreas,16,9,0,0,0,0,0,0,0,3.614
386,Fall 2021,COSC,8399,114,Doctoral Dissertation,Kakadiaris,Ioannis A.,1,0,0,0,0,0,0,0,0,4.0
412,Fall 2021,COSC,1336,4,Computer Science & Program,Biediger,Daniel Edward,44,22,34,3,7,0,0,0,16,2.815
427,Fall 2021,MATH,6320,1,Func Real Variable,Nicol,Matthew J.,4,1,0,0,1,0,0,0,0,3.167
442,Fall 2021,COSC,8399,127,Doctoral Dissertation,Subhlok,Jaspal,0,0,0,0,0,1,0,0,0,0.0
559,Fall 2021,MATH,8398,6,Doctoral Research,Bodmann,Bernhard G,0,0,0,0,0,2,0,0,0,0.0
567,Fall 2021,MATH,6397,3,Selected Topics in Math,Jun,Mikyoung,6,2,0,0,0,0,0,0,0,3.75
583,Fall 2021,MATH,3303,1,Elts Algebra & Numb Thy,Douglas,Casey,16,13,7,0,4,0,0,0,2,2.9
633,Fall 2021,MATH,5331,1,Linear Algebra W/ Applications,Etgen,Garret J,6,2,2,0,2,0,0,0,0,2.778
682,Fall 2021,COSC,6380,1,Digital Image Processing,Mantini,Pranav,51,14,0,0,0,0,0,0,0,3.719
