,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
10,Spring 2022,MATH,8699,11,14940,Doctoral Dissertation,Haynes,Alan K,1,0,0,0,0,0,0,0,0,4.0
31,Spring 2022,MATH,1324,9,14845,Finite Math with Applications,Hafeez,Shahinda,23,23,25,4,23,0,0,0,28,2.13
81,Spring 2022,COSC,4399,2,26607,Senior Honors Thesis,Shah,Shishir,1,0,0,0,0,0,0,0,0,4.0
114,Spring 2022,COSC,3360,1,14370,Operating Systems,Cheng,Albert M K,9,23,27,17,24,0,0,0,54,1.737
162,Spring 2022,COSC,8998,115,20235,Doctoral Research,Laszka,Aron,0,0,0,0,0,5,0,0,0,0.0
167,Spring 2022,COSC,8398,116,20174,Doctoral Research,Leiss,Ernst L,0,0,0,0,0,1,0,0,0,0.0
178,Spring 2022,COSC,6308,1,26457,Computer Architecture,Long,Kevin B,3,0,0,0,0,0,0,0,0,4.0
180,Spring 2022,COSC,6386,1,20924,Prgrm Analys & Testing,Alipour,Mohammad Amin,34,8,3,7,0,0,0,0,1,3.276
241,Spring 2022,COSC,1437,3,18710,Introduction to Programming,Chen,Guoning,59,31,8,1,6,0,0,0,13,3.254
243,Spring 2022,MATH,1351,2,18382,Introduction to Math Reasoning,Hong,Yuqi,30,25,16,6,25,0,0,0,9,2.223
274,Spring 2022,MATH,8398,18,16984,Doctoral Research,Labate,Demetrio,0,0,0,0,0,2,0,0,0,0.0
293,Spring 2022,COSC,8699,103,20285,Doctoral Dissertation,Cheng,Albert M K,1,0,0,0,0,0,0,0,0,4.0
337,Spring 2022,MATH,3336,2,14860,Discrete Mathematics,Douglas,Casey,28,27,30,9,7,0,0,0,13,2.574
356,Spring 2022,MATH,2312,2,21956,Precalculus,May,Jennifer Ruhnow,37,43,25,10,21,0,0,0,39,2.429
397,Spring 2022,MATH,6315,30,19699,Masters Tutorial,Poliak,Cathy Dawn,3,0,0,0,0,0,0,0,0,4.0
412,Spring 2022,COSC,4370,1,20526,Interactive Computer Graphics,Deng,Zhigang,37,22,2,0,1,0,0,0,3,3.474
415,Spring 2022,COSC,3371,1,18696,Cybersecurity,Laszka,Aron,26,34,8,1,1,0,0,0,0,3.209
