,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
5,Summer 2022,MATH,1324,5,10738,Finite Math with Applications,Chang,James A,5,4,4,3,4,0,0,2.216
6,Summer 2022,MATH,3321,1,10743,Engineering Mathematics,Etgen,Garret J,14,14,10,2,5,0,3,2.659
43,Summer 2022,MATH,4378,1,10744,Advanced Linear Algebra II,Torok,Andrei S,4,3,5,3,1,0,0,2.231
69,Summer 2022,COSC,8698,115,13292,Doctoral Research,Laszka,Aron,0,0,0,0,0,6,0,0.0
78,Summer 2022,COSC,8399,127,17303,Doctoral Dissertation,Subhlok,Jaspal,0,0,0,0,0,1,0,0.0
87,Summer 2022,MATH,2312,5,11626,Precalculus,Douglas,Casey,14,7,4,3,5,0,4,2.647
97,Summer 2022,MATH,8698,16,13227,Doctoral Research,Mang,Andreas,0,0,0,0,0,1,0,0.0
106,Summer 2022,COSC,4398,101,17190,Independent Study,Cheng,Albert M K,0,0,0,0,0,2,0,0.0
114,Summer 2022,COSC,4377,301,13048,Intro To Computer Networks,Long,Kevin B,35,42,11,1,1,0,2,3.211
148,Summer 2022,MATH,5389,1,11333,Survey of Mathematics,Etgen,Garret J,6,6,0,0,0,0,0,3.583
183,Summer 2022,MATH,6398,9,10135,Special Problems,Fitzgibbon,William E,0,0,0,0,0,1,0,0.0
184,Summer 2022,MATH,1324,3,13406,Finite Math with Applications,Caglar,Atife,5,13,9,12,12,0,1,1.745
191,Summer 2022,MATH,3333,1,12367,Intermediate Analysis,Kalantar,Mehrdad,4,9,1,0,2,0,3,2.771
192,Summer 2022,COSC,6398,131,17258,Special Problems,Wu,Panruo,0,0,0,0,0,1,0,0.0
221,Summer 2022,COSC,8698,127,13247,Doctoral Research,Subhlok,Jaspal,0,0,0,0,0,1,0,0.0
252,Summer 2022,COSC,1437,301,12182,Introduction to Programming,Rincon Castro,Carlos Alberto,27,9,8,5,11,0,4,2.606
258,Summer 2022,COSC,8698,107,13267,Doctoral Research,Eick,Christoph F,0,0,0,0,0,2,0,0.0
267,Summer 2022,MATH,6498,1,11076,Special Problems,Mang,Andreas,0,0,0,0,0,1,0,0.0
321,Summer 2022,COSC,8698,106,13203,Doctoral Research,Deng,Zhigang,0,0,0,0,0,2,0,0.0
326,Summer 2022,MATH,1332,1,15473,Elem Mathematical Modeling,Hafeez,Shahinda,4,9,3,2,3,0,5,2.413
377,Summer 2022,MATH,8698,14,13225,Doctoral Research,Perepelitsa,Mikhail Antolyevic,0,0,0,0,0,1,0,0.0
384,Summer 2022,COSC,8698,129,13293,Doctoral Research,Verma,Rakesh M,0,0,0,0,0,1,0,0.0
387,Summer 2022,COSC,4351,201,16194,Fundamentals of Software Engr,Hilford,Victoria,14,5,2,0,0,0,0,3.524
389,Summer 2022,COSC,8399,110,16953,Doctoral Dissertation,Gurkan,Deniz,1,0,0,0,0,0,0,4.0
406,Summer 2022,MATH,6298,14,10745,Special Problems,Fitzgibbon,William E,0,0,0,0,0,11,0,0.0
417,Summer 2022,COSC,8698,117,13291,Doctoral Research,Merchant,Fatima Aziz,0,0,0,0,0,3,0,0.0
444,Summer 2022,COSC,8698,120,13278,Doctoral Research,Pandurangan,Gopal,0,0,0,0,0,1,0,0.0
461,Summer 2022,MATH,1314,1,11135,College Algebra,Xhabli,Blerina,7,3,3,2,9,0,8,1.848
474,Summer 2022,COSC,6398,119,17360,Special Problems,Ordonez,Carlos,0,0,0,0,0,1,0,0.0
505,Summer 2022,COSC,2436,201,15682,Programming and Data Structure,Rizk,Nouhad J,12,12,18,0,12,0,9,2.186
538,Summer 2022,MATH,3339,1,11911,Statistics for the Sciences,Poliak,Cathy Dawn,27,17,13,7,16,0,3,2.379
575,Summer 2022,COSC,3337,201,13049,Data Science I,Rizk,Nouhad J,7,21,8,2,1,0,0,2.769
621,Summer 2022,MATH,3325,1,12123,Transition to Advanced Math,Leger,Nicholas M,8,2,4,1,2,0,0,2.784
628,Summer 2022,MATH,2414,1,11062,Calculus II,Xhabli,Blerina,31,15,13,4,23,0,10,2.295
645,Summer 2022,MATH,6386,1,12913,Big Data Analytics,Shastri,Dvijesh J,19,13,2,0,0,0,0,3.413
646,Summer 2022,MATH,8698,4,12050,Doctoral Research,Josic,Kresimir,0,0,0,0,0,2,0,0.0
678,Summer 2022,COSC,6309,201,13067,Intro Automata & Computability,Leiss,Ernst L,0,2,0,0,0,0,0,3.0
715,Summer 2022,COSC,8398,125,12994,Doctoral Research,Shi,Weidong,0,0,0,0,0,1,0,0.0
732,Summer 2022,MATH,6398,5,11072,Special Problems,Azencott,Robert Guy,0,0,0,0,0,2,0,0.0
753,Summer 2022,MATH,8698,8,12087,Doctoral Research,Cappanera,Loic,0,0,0,0,0,1,0,0.0
754,Summer 2022,MATH,1342,5,11765,Elementary Statistical Methods,Weber,Thomas Christian,19,9,6,0,1,0,3,3.267
765,Summer 2022,MATH,6315,1,12303,Masters Tutorial,Poliak,Cathy Dawn,30,0,0,0,1,0,1,3.85
766,Summer 2022,MATH,6398,1,12828,Special Problems,Timofeyev,Ilya,0,0,0,0,0,1,0,0.0
788,Summer 2022,MATH,8399,1,11081,Doctoral Dissertation,Haynes,Alan K,1,0,0,0,0,0,0,4.0
789,Summer 2022,COSC,8698,114,13252,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,3,0,0.0
793,Summer 2022,MATH,8699,2,11083,Doctoral Dissertation,Josic,Kresimir,1,0,0,0,0,0,0,4.0
795,Summer 2022,COSC,3360,301,16032,Operating Systems,Rincon Castro,Carlos Alberto,11,10,12,6,11,0,7,2.06
797,Summer 2022,COSC,6353,101,12901,Software Design,Singh,Raj Kumar,23,2,0,0,0,0,1,3.88
805,Summer 2022,MATH,8698,11,12104,Doctoral Research,Olshanskiy,Maxim Alexandrovich,0,0,0,0,0,2,0,0.0
808,Summer 2022,COSC,8698,101,16949,Doctoral Research,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0.0
824,Summer 2022,MATH,8399,4,10173,Doctoral Dissertation,Cappanera,Loic,1,0,0,0,0,0,0,4.0
826,Summer 2022,COSC,8698,118,17150,Doctoral Research,Mukherjee,Arjun,0,0,0,0,0,1,0,0.0
833,Summer 2022,MATH,2415,1,12393,Calculus III,Pan,Tsorng-Whay,5,3,4,0,2,0,1,2.643
858,Summer 2022,MATH,2131,1,12235,Linear Alg Labs w/MATLAB,Ansari,Haseeb E,13,0,1,0,0,0,1,3.786
911,Summer 2022,MATH,1351,3,16179,Introduction to Math Reasoning,Douglas,Casey,16,16,6,12,14,0,3,2.063
934,Summer 2022,COSC,8398,120,12990,Doctoral Research,Pandurangan,Gopal,0,0,0,0,0,1,0,0.0
